url,titulo
https://www.youtube.com/embed/pSzJZ7YCiY0,"CNR Tijuana Parque industrial Pacífico y sus deficiencias",Tijuana
https://www.youtube.com/embed/RMwK72EyDrQ,"CNR Tijuana Indigentes viven en cajón desarenador",Tijuana
https://www.youtube.com/embed/YG3Xm4vS3bs,"CNR Tijuana Causan destrozos a unidad deportiva",Tijuana
https://www.youtube.com/embed/jfCchLAxvKA,"CNR Tijuana Áreas verdes invadidas de personas en situación de calle",Tijuana
https://www.youtube.com/embed/8tmbMfJBk2s,"CNR Tijuana Todos unos cafres los taxistas de Tijuana",Tijuana
https://www.youtube.com/embed/AvmGA2n6VeI,"CNR Tijuana obra inconclusa puente alamar",Tijuana
https://www.youtube.com/embed/csQjPli5RZo,"CNR Tijuana Cerrado el acceso a vía rápida por obra privada",Tijuana
https://www.youtube.com/embed/pvB2-OBPSGw,"CNR Tijuana Caos en 5 y 10 exceso de trafico",Tijuana
https://www.youtube.com/embed/FOHyAzeRdLw,"CNR Tijuana Individuo prende fuego a Oxxo en Playas de Tijuana",Tijuana
https://www.youtube.com/embed/HW0UJHvkcNk,"CNR Tijuana Chocan dos unidades de la policía municipal",Tijuana
https://www.youtube.com/embed/oe_gV86AG6g,"CNR Tijuana Persona lesionada por arma de fuego en col. 3 de octubre",Tijuana
https://www.youtube.com/embed/dTdLHC5VfNQ,"CNR Mexicali Regreso a clases será con las 2 modalidades presencial y en linea",Mexicali
https://www.youtube.com/embed/uykHZmUIXak,"CNR Mexicali sigue la investigación de la balacera en bar céntrico",Mexicali
https://www.youtube.com/embed/dmf7zej6Mhk,"CNR Mexicali se investiga homicidio por negligencia médica en el valle de Mexicali",Mexicali
https://www.youtube.com/embed/FCBSaWNN5zI,"CNR Mexicali regidores en espera de la propuesta de municipalizar los organismos del agua",Mexicali
https://www.youtube.com/embed/H6u7nTEJo6k,"CNR Mexicali se prepara una serie de modificaciones al reglamento municipal a favor de los animales",Mexicali
https://www.youtube.com/embed/PeTw3bTKxMI,"CNR Mexicali Incendio en pleno centro de la ciudad pone en riesgo la salud de los bomberos",Mexicali
https://www.youtube.com/embed/ffZWlXHzlnc,"CNR Mexicali Don Pedro deuda de mas de 250 mil pesos de luz",Mexicali
https://www.youtube.com/embed/-E6xTWAQFvM,"CNR Rosarito predio baldío ubicado sobre la colonia machado sur",Rosarito
https://www.youtube.com/embed/cWwselOSK1Y,"CNR Rosarito Postes apunto de caer",Rosarito
https://www.youtube.com/embed/gjYPXgfp9Io,"CNR Rosarito indigentes habitan cerca de escuela",Rosarito
https://www.youtube.com/embed/3ovNnRRpqWY,"CNR Rosarito Planta de agua cespt vandalizada",Rosarito
https://www.youtube.com/embed/3O5CGNDk3_g,"CNR Rosarito Asalto a mano armada",Rosarito
https://www.youtube.com/embed/AriUgjkiaDE,"CNR Rosarito Operativo de fin de semana en la playa",Rosarito
https://www.youtube.com/embed/82dPUS2baUA,"CNR Rosarito Invitan a carrera por tu salud",Rosarito
https://www.youtube.com/embed/GErPy8ZNfWQ,"CNR Rosarito Zofemat nos habla a cerca de una ballena que estuvo en la playa",Rosarito
https://www.youtube.com/embed/sdgpl5JSYHE,"CNR Tecate Al menos 14 casos positivos en COVID 19 En la academia de Policía",Tecate
https://www.youtube.com/embed/KHYGFIhHUxw,"CNR Tecate Director de seguridad ciudadana fue señalado por violación",Tecate
https://www.youtube.com/embed/En4weIhsD1s,"CNR Tijuana En duda el posible cierre en el sector comercio",Tijuana
https://www.youtube.com/embed/u1iOS9302_w,"CNR Tijuana El sector del comercio no está preparado para otro cierre",Tijuana
https://www.youtube.com/embed/xAB0l8CtcSo,"CNR Tijuana Sigue el vandalismo en escuelas y jardines de niños",Tijuana
https://www.youtube.com/embed/wyG0VT5-bz0,"CNR Tijuana Vialidad con falta de mantenimiento",Tijuana
https://www.youtube.com/embed/kyaNz2LoZdM,"CNR Tijuana Puentes con fallas estructurales",Tijuana
https://www.youtube.com/embed/RnZElnMhqiA,"CNR Tijuana Vandalizadas las instalaciones de CAPEA",Tijuana
https://www.youtube.com/embed/zjCkVUKl48A,"CNR Tijuana Derrame de aguas negras provoca el hartazgo de la ciudadanía",Tijuana
https://www.youtube.com/embed/6x1-xkjOg9I,"CNR Tijuana Descuido de conductor deja incomunicada a la colonia Morelos",Tijuana
https://www.youtube.com/embed/lFW8UFnIXEU,"CNR Tijuana Desayunador salesiano padre chava",Tijuana
https://www.youtube.com/embed/rjBzlRXB-wg,"CNR Tijuana Baches en la colonia cacho",Tijuana
https://www.youtube.com/embed/o4T-_sXfumY,"CNR Mexicali Acusa sara ahumada irregularidades en el proceso de sunshine rodríguez",Mexicali
https://www.youtube.com/embed/hnDilQT0qbc,"CNR Mexicali Ciudadanos promueven consulta popular contra expresidentes",Mexicali
https://www.youtube.com/embed/G7dgjlH1rrA,"CNR Mexicali Solo operan el 30% de las cámaras de vigilancia en la ciudad",Mexicali
https://www.youtube.com/embed/s4-deslzoa8,"CNR Mexicali Mural en cerco fronterizo fomenta hermandad entre los dos países",Mexicali
https://www.youtube.com/embed/OURtbGYcbcU,"CNR Rosarito Volcadura deja un muerto",Rosarito
https://www.youtube.com/embed/9qjFiaIatDA,"CNR Rosarito Trafico intenso para entrar a rosarito",Rosarito
https://www.youtube.com/embed/cFokxvFBXtM,"CNR Rosarito 1 persona sin vida a causa de disparos",Rosarito
https://www.youtube.com/embed/Tng5evdH6bA,"CNR Rosarito BC se queda en color verde a nivel local",Rosarito
https://www.youtube.com/embed/eYisbWtTZJI,"CNR Rosarito Playas abarrotadas",Rosarito
https://www.youtube.com/embed/PJvO583LKvk,"CNR Rosarito Vendedores ambulantes buscan generar más ganancias",Rosarito
https://www.youtube.com/embed/MNdPfXKmKCk,"CNR Rosarito Parte de novedad y policial juvenil",Rosarito
https://www.youtube.com/embed/agPbCpldecM,"CNR Tecate Rejilla en mal estado pone en peligro a los automovilistas",Tecate
https://www.youtube.com/embed/cd1oY-UXAW8,"CNR Tecate Usan ventilador para bajar temperatura en centro de control",Tecate
https://www.youtube.com/embed/ekQleqkdFjU,"CNR Tijuana Localizan restos humanos en la Sánchez Taboada",Tijuana
https://www.youtube.com/embed/SCv00lvVS1E,"CNR Tijuana Desarenadores completamente llenos de maleza y basura",Tijuana
https://www.youtube.com/embed/bO3TyaNd8LU,"CNR Tijuana Repleta de baches la colonia Infonavit la mesa",Tijuana
https://www.youtube.com/embed/XjVgi5rQRSg,"CNR Tijuana Ciclo pistas utilizadas por automovilistas",Tijuana
https://www.youtube.com/embed/bO3TyaNd8LU,"CNR Tijuana Repleta de baches la colonia Infonavit la mesa",Tijuana
https://www.youtube.com/embed/mVCsD0quwUc,"CNR Tijuana En colonia el águila se encuentran calles sin recolección de basura",Tijuana
https://www.youtube.com/embed/m5kGxv6hIBo,"CNR Tijuana En la calle santo Tomás se encuentran las banquetas invadidas por escombros",Tijuana
https://www.youtube.com/embed/Kk6wi69Ga0E,"CNR Tijuana Derrame de aguas negras sobre calles",Tijuana
https://www.youtube.com/embed/Jl3Z_0-qot0,"CNR Tijuana Sin medidas sanitarias en unidades deportivas",Tijuana
https://www.youtube.com/embed/xW2tUYtk_XM,"CNR Tijuana sobre la ruta matamoros se encuentran áreas verdes quemadas entre otras cosas",Tijuana
https://www.youtube.com/embed/7Y7s18Q1VYE,"CNR Mexicali En espera de aparatos de refrigeración para los Centros de Salud",Mexicali
https://www.youtube.com/embed/xKc0U71RMVM,"CNR Mexicali Tras fuerte operativo de la fiscalía liberan a persona privada de su libertad",Mexicali
https://www.youtube.com/embed/OwsRMzeFAz8,"CNR Mexicali solicita lupita mora mayor presencia de la fgr",Mexicali
